trip_id,arrival_time,departure_time,stop_id,stop_sequence
A-2351,04:41:00,04:41:00,plzac,0
A-2351,04:43:00,04:43:00,poles,1
A-2351,04:46:00,04:46:00,milgr,2
A-1151,04:40:00,04:40:00,wsrod,0
A-1151,04:42:00,04:42:00,wocho,1
A-1151,04:45:00,04:45:00,wzach,2
A-1151,04:51:00,04:51:00,wreor,3
A-1151,04:54:00,04:54:00,walje,4
A-1151,04:56:00,04:56:00,wrako,5
A-1151,04:58:00,04:58:00,wsalo,6
A-1151,05:00:00,05:00:00,opacz,7
A-1151,05:03:00,05:03:00,micha,8
A-1151,05:05:00,05:05:00,regul,9
A-4003,05:22:00,05:22:00,komor,0
A-4003,05:24:00,05:24:00,nwwar,1
A-4003,05:26:00,05:26:00,kanie,2
A-4003,05:28:00,05:28:00,otreb,3
A-4003,05:30:00,05:30:00,plwsc,4
A-4003,05:33:00,05:33:00,plglo,5
A-4003,05:35:00,05:35:00,plzac,6
A-4003,05:37:00,05:37:00,kazim,7
A-4003,05:39:00,05:39:00,brzoz,8
A-4003,05:41:00,05:41:00,gmokr,9
A-4003,05:42:00,05:42:00,gmpia,10
A-4003,05:44:00,05:44:00,gmjor,11
A-4003,05:46:00,05:46:00,gmrad,12
A-1053,05:06:00,05:06:00,wsrod,0
A-1053,05:08:00,05:08:00,wocho,1
A-1053,05:11:00,05:11:00,wzach,2
A-1053,05:17:00,05:17:00,wreor,3
A-1053,05:20:00,05:20:00,walje,4
A-1053,05:22:00,05:22:00,wrako,5
A-1053,05:24:00,05:24:00,wsalo,6
A-1053,05:26:00,05:26:00,opacz,7
A-1053,05:29:00,05:29:00,micha,8
A-1053,05:31:00,05:31:00,regul,9
A-1053,05:33:00,05:33:00,malic,10
A-1053,05:36:00,05:36:00,twork,11
A-1053,05:38:00,05:38:00,prusz,12
A-1053,05:40:00,05:41:00,komor,13
A-1053,05:43:00,05:43:00,nwwar,14
A-1053,05:45:00,05:45:00,kanie,15
A-1053,05:47:00,05:47:00,otreb,16
A-1053,05:49:00,05:49:00,plwsc,17
A-1053,05:52:00,05:52:00,plglo,18
A-1053,05:54:00,05:54:00,plzac,19
A-1053,05:56:00,05:56:00,kazim,20
A-1053,05:58:00,05:58:00,brzoz,21
A-1053,06:00:00,06:00:00,gmokr,22
A-1053,06:01:00,06:01:00,gmpia,23
A-1053,06:03:00,06:03:00,gmjor,24
A-1053,06:05:00,06:05:00,gmrad,25
A-2051,05:57:00,05:57:00,komor,0
A-2051,05:59:00,05:59:00,nwwar,1
A-2051,06:01:00,06:01:00,kanie,2
A-2051,06:03:00,06:03:00,otreb,3
A-2051,06:05:00,06:05:00,plwsc,4
A-2051,06:08:00,06:08:00,plglo,5
A-2051,06:10:00,06:10:00,plzac,6
A-2051,06:12:00,06:12:00,poles,7
A-2051,06:15:00,06:15:00,milgr,8
A-1153,05:46:00,05:46:00,wsrod,0
A-1153,05:48:00,05:48:00,wocho,1
A-1153,05:51:00,05:51:00,wzach,2
A-1153,05:57:00,05:57:00,wreor,3
A-1153,06:00:00,06:00:00,walje,4
A-1153,06:02:00,06:02:00,wrako,5
A-1153,06:04:00,06:04:00,wsalo,6
A-1153,06:06:00,06:06:00,opacz,7
A-1153,06:09:00,06:09:00,micha,8
A-1153,06:11:00,06:11:00,regul,9
A-4005,06:22:00,06:22:00,komor,0
A-4005,06:24:00,06:24:00,nwwar,1
A-4005,06:26:00,06:26:00,kanie,2
A-4005,06:28:00,06:28:00,otreb,3
A-4005,06:30:00,06:30:00,plwsc,4
A-4005,06:33:00,06:33:00,plglo,5
A-4005,06:35:00,06:35:00,plzac,6
A-4005,06:37:00,06:37:00,kazim,7
A-4005,06:39:00,06:39:00,brzoz,8
A-4005,06:41:00,06:41:00,gmokr,9
A-4005,06:42:00,06:42:00,gmpia,10
A-4005,06:44:00,06:44:00,gmjor,11
A-4005,06:46:00,06:46:00,gmrad,12
A-5505,05:57:00,05:57:00,prusp,0
A-5505,06:11:00,06:11:00,komor,1
A-4007,06:42:00,06:42:00,komor,0
A-4007,06:44:00,06:44:00,nwwar,1
A-4007,06:46:00,06:46:00,kanie,2
A-4007,06:48:00,06:48:00,otreb,3
A-4007,06:50:00,06:50:00,plwsc,4
A-4007,06:53:00,06:53:00,plglo,5
A-4007,06:55:00,06:55:00,plzac,6
A-4007,06:57:00,06:57:00,kazim,7
A-4007,06:59:00,06:59:00,brzoz,8
A-4007,07:01:00,07:01:00,gmokr,9
A-4007,07:02:00,07:02:00,gmpia,10
A-4007,07:04:00,07:04:00,gmjor,11
A-4007,07:06:00,07:06:00,gmrad,12
A-5153,06:18:00,06:18:00,regul,0
A-5153,06:33:00,06:33:00,komor,1
A-1055,06:26:00,06:26:00,wsrod,0
A-1055,06:28:00,06:28:00,wocho,1
A-1055,06:31:00,06:31:00,wzach,2
A-1055,06:37:00,06:37:00,wreor,3
A-1055,06:40:00,06:40:00,walje,4
