route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
A12,A,A-2351,Milanówek Grudów,2351,0,0,1,1
A1,A,A-1151,Reguły,1151,0,1,1,1
A1,A,A-4003,Grodzisk Mazowiecki Radońska,4003,0,2,1,1
A1,A,A-1053,Grodzisk Mazowiecki Radońska,1053,0,3,1,1
A12,A,A-2051,Milanówek Grudów,2051,0,4,1,1
A1,A,A-1153,Reguły,1153,0,1,1,1
A1,A,A-4005,Grodzisk Mazowiecki Radońska,4005,0,2,1,1
ZA1,A,A-5505,Komorów,5505,0,5,1,2
A1,A,A-4007,Grodzisk Mazowiecki Radońska,4007,0,2,1,1
ZA1,A,A-5153,Komorów,5153,1,6,1,2
A1,A,A-1055,Grodzisk Mazowiecki Radońska,1055,0,3,1,1
A12,A,A-2053,Milanówek Grudów,2053,0,4,1,1
A1,A,A-1155,Reguły,1155,0,1,1,1
A1,A,A-4009,Grodzisk Mazowiecki Radońska,4009,0,2,1,1
ZA1,A,A-5009,Komorów,5009,0,7,1,2
A1,A,A-4011,Grodzisk Mazowiecki Radońska,4011,0,2,1,1
ZA1,A,A-5155,Komorów,5155,1,6,1,2
A1,A,A-1057,Grodzisk Mazowiecki Radońska,1057,0,3,1,1
A12,A,A-2055,Milanówek Grudów,2055,0,4,1,1
A1,A,A-1157,Reguły,1157,0,1,1,1
A1,A,A-4013,Grodzisk Mazowiecki Radońska,4013,0,2,1,1
ZA1,A,A-5013,Komorów,5013,0,7,1,2
A1,A,A-4015,Grodzisk Mazowiecki Radońska,4015,0,2,1,1
ZA1,A,A-5157,Komorów,5157,1,6,1,2
A1,A,A-1059,Grodzisk Mazowiecki Radońska,1059,0,3,1,1
A12,A,A-2057,Milanówek Grudów,2057,0,4,1,1
A1,A,A-1159,Reguły,1159,0,1,1,1
A1,A,A-4017,Grodzisk Mazowiecki Radońska,4017,0,2,1,1
ZA1,A,A-5017,Komorów,5017,0,7,1,2
A1,A,A-4019,Grodzisk Mazowiecki Radońska,4019,0,2,1,1
ZA1,A,A-5159,Komorów,5159,1,6,1,2
A1,A,A-1061,Grodzisk Mazowiecki Radońska,1061,0,3,1,1
A12,A,A-2059,Milanówek Grudów,2059,0,4,1,1
A1,A,A-1161,Reguły,1161,0,1,1,1
A1,A,A-4021,Grodzisk Mazowiecki Radońska,4021,0,2,1,1
ZA1,A,A-5021,Komorów,5021,0,7,1,2
A1,A,A-4023,Grodzisk Mazowiecki Radońska,4023,0,2,1,1
ZA1,A,A-5161,Komorów,5161,1,6,1,2
A1,A,A-1063,Grodzisk Mazowiecki Radońska,1063,0,3,1,1
A12,A,A-2061,Milanówek Grudów,2061,0,4,1,1
A1,A,A-1163,Reguły,1163,0,1,1,1
A1,A,A-4025,Grodzisk Mazowiecki Radońska,4025,0,2,1,1
ZA1,A,A-5025,Komorów,5025,0,7,1,2
