,303,5351,105,309,5353,313,109,317,5355,321,111,325,5357,329,115,339,5359,343,117,351,5361,355,119,363,5363,367,121,375,5365,379,123,387,5367,391,125,399,5369,3005,127,3013,5371,3019,129,3025,5373,3031,131,3037,5375,3043,133,3049,5377,3055,135,3061,5379,3067,137,3073,5381,3077,141,3083,5383,3087,147,3095,5385,151,153,3097,155,157,101
,A1,ZA12,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,A1
,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
wsrod,5:05,,5:20,5:40,,6:00,6:20,6:40,,7:00,7:20,7:40,,8:00,8:20,8:40,,9:00,9:20,9:40,,10:00,10:20,10:40,,11:00,11:20,11:40,,12:00,12:20,12:40,,13:00,13:20,13:40,,14:00,14:20,14:40,,15:00,15:20,15:40,,16:00,16:20,16:40,,17:00,17:20,17:40,,18:00,18:20,18:40,,19:00,19:20,19:40,,20:00,20:20,20:40,,21:00,21:20,21:50,,22:20,22:42,23:05,23:36,23:58,24:20
wocho,5:07,,5:22,5:42,,6:02,6:22,6:42,,7:02,7:22,7:42,,8:02,8:22,8:42,,9:02,9:22,9:42,,10:02,10:22,10:42,,11:02,11:22,11:42,,12:02,12:22,12:42,,13:02,13:22,13:42,,14:02,14:22,14:42,,15:02,15:22,15:42,,16:02,16:22,16:42,,17:02,17:22,17:42,,18:02,18:22,18:42,,19:02,19:22,19:42,,20:02,20:22,20:42,,21:02,21:22,21:52,,22:22,22:44,23:07,23:38,0:00,0:22
wzach,5:10,,5:25,5:45,,6:05,6:25,6:45,,7:05,7:25,7:45,,8:05,8:25,8:45,,9:05,9:25,9:45,,10:05,10:25,10:45,,11:05,11:25,11:45,,12:05,12:25,12:45,,13:05,13:25,13:45,,14:05,14:25,14:45,,15:05,15:25,15:45,,16:05,16:25,16:45,,17:05,17:25,17:45,,18:05,18:25,18:45,,19:05,19:25,19:45,,20:05,20:25,20:45,,21:05,21:25,21:55,,22:25,22:47,23:10,23:41,0:03,0:25
wreor,5:12,,5:27,5:47,,6:07,6:27,6:47,,7:07,7:27,7:47,,8:07,8:27,8:47,,9:07,9:27,9:47,,10:07,10:27,10:47,,11:07,11:27,11:47,,12:07,12:27,12:47,,13:07,13:27,13:47,,14:07,14:27,14:47,,15:07,15:27,15:47,,16:07,16:27,16:47,,17:07,17:27,17:47,,18:07,18:27,18:47,,19:07,19:27,19:47,,20:07,20:27,20:47,,21:07,21:27,21:57,,22:27,22:49,23:12,23:43,0:05,0:27
walje,5:14,,5:29,5:49,,6:09,6:29,6:49,,7:09,7:29,7:49,,8:09,8:29,8:49,,9:09,9:29,9:49,,10:09,10:29,10:49,,11:09,11:29,11:49,,12:09,12:29,12:49,,13:09,13:29,13:49,,14:09,14:29,14:49,,15:09,15:29,15:49,,16:09,16:29,16:49,,17:09,17:29,17:49,,18:09,18:29,18:49,,19:09,19:29,19:49,,20:09,20:29,20:49,,21:09,21:29,21:59,,22:29,22:51,23:14,23:45,0:07,0:29
wrako,5:16,,5:31,5:51,,6:11,6:31,6:51,,7:11,7:31,7:51,,8:11,8:31,8:51,,9:11,9:31,9:51,,10:11,10:31,10:51,,11:11,11:31,11:51,,12:11,12:31,12:51,,13:11,13:31,13:51,,14:11,14:31,14:51,,15:11,15:31,15:51,,16:11,16:31,16:51,,17:11,17:31,17:51,,18:11,18:31,18:51,,19:11,19:31,19:51,,20:11,20:31,20:51,,21:11,21:31,22:01,,22:31,22:53,23:16,23:47,0:09,0:31
wsalo,5:18,,5:33,5:53,,6:13,6:33,6:53,,7:13,7:33,7:53,,8:13,8:33,8:53,,9:13,9:33,9:53,,10:13,10:33,10:53,,11:13,11:33,11:53,,12:13,12:33,12:53,,13:13,13:33,13:53,,14:13,14:33,14:53,,15:13,15:33,15:53,,16:13,16:33,16:53,,17:13,17:33,17:53,,18:13,18:33,18:53,,19:13,19:33,19:53,,20:13,20:33,20:53,,21:13,21:33,22:03,,22:33,22:55,23:18,23:49,0:11,0:33
opacz,5:20,,5:35,5:55,,6:15,6:35,6:55,,7:15,7:35,7:55,,8:15,8:35,8:55,,9:15,9:35,9:55,,10:15,10:35,10:55,,11:15,11:35,11:55,,12:15,12:35,12:55,,13:15,13:35,13:55,,14:15,14:35,14:55,,15:15,15:35,15:55,,16:15,16:35,16:55,,17:15,17:35,17:55,,18:15,18:35,18:55,,19:15,19:35,19:55,,20:15,20:35,20:55,,21:15,21:35,22:05,,22:35,22:57,23:20,23:51,0:13,0:35
