,301,5301,103,305,5303,307,309,311,5305,107,315,317,5307,319,323,113,325,5309,327,331,333,159,337,341,5311,345,117,349,353,5313,357,119,361,365,5315,369,121,373,377,5317,381,123,385,389,5319,393,125,397,3001,3099,5321,3007,127,3011,3015,3017,5323,3021,129,3023,3027,5325,3029,3033,131,3035,3039,5327,3041,3045,133,3047,3051,5329,3053,3057,135,3059,3063,5331,3065,3069,137,3071,139,3075,5333,3079,3081,143,3085,145,3089,3091,5335,3093,149,151,153,3097,5337,155,157,101
,A1,ZA12,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,ZA12,A1,A1,A1
,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
wsrod,4:30,,4:50,5:10,,5:25,5:40,5:55,,6:10,6:25,6:40,,6:58,7:16,7:28,7:40,,7:55,8:06,8:17,8:28,8:39,8:50,,9:05,9:20,9:35,9:50,,10:05,10:20,10:35,10:50,,11:05,11:20,11:35,11:50,,12:05,12:20,12:35,12:50,,13:05,13:20,13:32,13:44,13:54,,14:08,14:20,14:32,14:44,14:56,,15:08,15:20,15:32,15:44,,15:56,16:08,16:20,16:32,16:44,,16:56,17:08,17:20,17:32,17:44,,17:56,18:08,18:20,18:32,18:44,,18:56,19:08,19:20,19:32,19:44,19:56,,20:08,20:20,20:40,20:50,21:02,21:16,21:30,,21:45,21:58,22:20,22:42,23:05,,23:36,23:58,24:20
wocho,4:32,,4:52,5:12,,5:27,5:42,5:57,,6:12,6:27,6:42,,7:00,7:18,7:30,7:42,,7:57,8:08,8:19,8:30,8:41,8:52,,9:07,9:22,9:37,9:52,,10:07,10:22,10:37,10:52,,11:07,11:22,11:37,11:52,,12:07,12:22,12:37,12:52,,13:07,13:22,13:34,13:46,13:56,,14:10,14:22,14:34,14:46,14:58,,15:10,15:22,15:34,15:46,,15:58,16:10,16:22,16:34,16:46,,16:58,17:10,17:22,17:34,17:46,,17:58,18:10,18:22,18:34,18:46,,18:58,19:10,19:22,19:34,19:46,19:58,,20:10,20:22,20:42,20:52,21:04,21:18,21:32,,21:47,22:00,22:22,22:44,23:07,,23:38,0:00,0:22
wzach,4:35,,4:55,5:15,,5:30,5:45,6:00,,6:15,6:30,6:45,,7:03,7:21,7:33,7:45,,8:00,8:11,8:22,8:33,8:44,8:55,,9:10,9:25,9:40,9:55,,10:10,10:25,10:40,10:55,,11:10,11:25,11:40,11:55,,12:10,12:25,12:40,12:55,,13:10,13:25,13:37,13:49,13:59,,14:13,14:25,14:37,14:49,15:01,,15:13,15:25,15:37,15:49,,16:01,16:13,16:25,16:37,16:49,,17:01,17:13,17:25,17:37,17:49,,18:01,18:13,18:25,18:37,18:49,,19:01,19:13,19:25,19:37,19:49,20:01,,20:13,20:25,20:45,20:55,21:07,21:21,21:35,,21:50,22:03,22:25,22:47,23:10,,23:41,0:03,0:25
wreor,4:37,,4:57,5:17,,5:32,5:47,6:02,,6:17,6:32,6:47,,7:05,7:23,7:35,7:47,,8:02,8:13,8:24,8:35,8:46,8:57,,9:12,9:27,9:42,9:57,,10:12,10:27,10:42,10:57,,11:12,11:27,11:42,11:57,,12:12,12:27,12:42,12:57,,13:12,13:27,13:39,13:51,14:01,,14:15,14:27,14:39,14:51,15:03,,15:15,15:27,15:39,15:51,,16:03,16:15,16:27,16:39,16:51,,17:03,17:15,17:27,17:39,17:51,,18:03,18:15,18:27,18:39,18:51,,19:03,19:15,19:27,19:39,19:51,20:03,,20:15,20:27,20:47,20:57,21:09,21:23,21:37,,21:52,22:05,22:27,22:49,23:12,,23:43,0:05,0:27
walje,4:39,,4:59,5:19,,5:34,5:49,6:04,,6:19,6:34,6:49,,7:07,7:25,7:37,7:49,,8:04,8:15,8:26,8:37,8:48,8:59,,9:14,9:29,9:44,9:59,,10:14,10:29,10:44,10:59,,11:14,11:29,11:44,11:59,,12:14,12:29,12:44,12:59,,13:14,13:29,13:41,13:53,14:03,,14:17,14:29,14:41,14:53,15:05,,15:17,15:29,15:41,15:53,,16:05,16:17,16:29,16:41,16:53,,17:05,17:17,17:29,17:41,17:53,,18:05,18:17,18:29,18:41,18:53,,19:05,19:17,19:29,19:41,19:53,20:05,,20:17,20:29,20:49,20:59,21:11,21:25,21:39,,21:54,22:07,22:29,22:51,23:14,,23:45,0:07,0:29
wrako,4:41,,5:01,5:21,,5:36,5:51,6:06,,6:21,6:36,6:51,,7:09,7:27,7:39,7:51,,8:06,8:17,8:28,8:39,8:50,9:01,,9:16,9:31,9:46,10:01,,10:16,10:31,10:46,11:01,,11:16,11:31,11:46,12:01,,12:16,12:31,12:46,13:01,,13:16,13:31,13:43,13:55,14:05,,14:19,14:31,14:43,14:55,15:07,,15:19,15:31,15:43,15:55,,16:07,16:19,16:31,16:43,16:55,,17:07,17:19,17:31,17:43,17:55,,18:07,18:19,18:31,18:43,18:55,,19:07,19:19,19:31,19:43,19:55,20:07,,20:19,20:31,20:51,21:01,21:13,21:27,21:41,,21:56,22:09,22:31,22:53,23:16,,23:47,0:09,0:31
wsalo,4:43,,5:03,5:23,,5:38,5:53,6:08,,6:23,6:38,6:53,,7:11,7:29,7:41,7:53,,8:08,8:19,8:30,8:41,8:52,9:03,,9:18,9:33,9:48,10:03,,10:18,10:33,10:48,11:03,,11:18,11:33,11:48,12:03,,12:18,12:33,12:48,13:03,,13:18,13:33,13:45,13:57,14:07,,14:21,14:33,14:45,14:57,15:09,,15:21,15:33,15:45,15:57,,16:09,16:21,16:33,16:45,16:57,,17:09,17:21,17:33,17:45,17:57,,18:09,18:21,18:33,18:45,18:57,,19:09,19:21,19:33,19:45,19:57,20:09,,20:21,20:33,20:53,21:03,21:15,21:29,21:43,,21:58,22:11,22:33,22:55,23:18,,23:49,0:11,0:33
opacz,4:45,,5:05,5:25,,5:40,5:55,6:10,,6:25,6:40,6:55,,7:13,7:31,7:43,7:55,,8:10,8:21,8:32,8:43,8:54,9:05,,9:20,9:35,9:50,10:05,,10:20,10:35,10:50,11:05,,11:20,11:35,11:50,12:05,,12:20,12:35,12:50,13:05,,13:20,13:35,13:47,13:59,14:09,,14:23,14:35,14:47,14:59,15:11,,15:23,15:35,15:47,15:59,,16:11,16:23,16:35,16:47,16:59,,17:11,17:23,17:35,17:47,17:59,,18:11,18:23,18:35,18:47,18:59,,19:11,19:23,19:35,19:47,19:59,20:11,,20:23,20:35,20:55,21:05,21:17,21:31,21:45,,22:00,22:13,22:35,22:57,23:20,,23:51,0:13,0:35
