,102,104,5300,106,108,304,5302,110,306,308,5304,112,310,312,5306,114,314,316,5308,116,318,320,5310,118,322,324,5312,120,326,328,5314,122,330,332,5316,124,334,336,5318,126,338,340,5320,128,342,344,5322,130,346,348,5324,132,350,352,5326,134,354,356,5328,136,358,360,5330,138,362,300,100,302
,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,A1,A1
,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
gmrad,4:06,4:28,,4:50,5:12,,,6:06,,,,7:18,,,,8:30,,,,9:42,,,,10:54,,,,12:06,,,,13:18,,,,14:30,,,,15:42,,,,16:54,,,,18:06,,,,19:18,,,,20:30,,,,21:42,,,,22:54,,,24:08,
gmjor,4:09,4:31,,4:53,5:15,,,6:09,,,,7:21,,,,8:33,,,,9:45,,,,10:57,,,,12:09,,,,13:21,,,,14:33,,,,15:45,,,,16:57,,,,18:09,,,,19:21,,,,20:33,,,,21:45,,,,22:57,,,0:11,
gmpia,4:11,4:33,,4:55,5:17,,,6:11,,,,7:23,,,,8:35,,,,9:47,,,,10:59,,,,12:11,,,,13:23,,,,14:35,,,,15:47,,,,16:59,,,,18:11,,,,19:23,,,,20:35,,,,21:47,,,,22:59,,,0:13,
gmokr,4:13,4:35,,4:57,5:19,,,6:13,,,,7:25,,,,8:37,,,,9:49,,,,11:01,,,,12:13,,,,13:25,,,,14:37,,,,15:49,,,,17:01,,,,18:13,,,,19:25,,,,20:37,,,,21:49,,,,23:01,,,0:15,
brzoz,4:15,4:37,,4:59,5:21,,,6:15,,,,7:27,,,,8:39,,,,9:51,,,,11:03,,,,12:15,,,,13:27,,,,14:39,,,,15:51,,,,17:03,,,,18:15,,,,19:27,,,,20:39,,,,21:51,,,,23:03,,,0:17,
kazim,4:18,4:40,,5:02,5:24,,,6:18,,,,7:30,,,,8:42,,,,9:54,,,,11:06,,,,12:18,,,,13:30,,,,14:42,,,,15:54,,,,17:06,,,,18:18,,,,19:30,,,,20:42,,,,21:54,,,,23:06,,,0:20,
milgr,,,4:55,,,,5:48,,,,7:00,,,,8:12,,,,9:24,,,,10:36,,,,11:48,,,,13:00,,,,14:12,,,,15:24,,,,16:36,,,,17:48,,,,19:00,,,,20:12,,,,21:24,,,,22:36,,,,,
poles,,,4:57,,,,5:50,,,,7:02,,,,8:14,,,,9:26,,,,10:38,,,,11:50,,,,13:02,,,,14:14,,,,15:26,,,,16:38,,,,17:50,,,,19:02,,,,20:14,,,,21:26,,,,22:38,,,,,
plzac,4:21,4:43,,5:05,5:27,,,6:21,,,,7:33,,,,8:45,,,,9:57,,,,11:09,,,,12:21,,,,13:33,,,,14:45,,,,15:57,,,,17:09,,,,18:21,,,,19:33,,,,20:45,,,,21:57,,,,23:09,,,0:23,
plglo,4:27,4:49,5:02,5:11,5:33,,5:55,6:27,,,7:07,7:39,,,8:19,8:51,,,9:31,10:03,,,10:43,11:15,,,11:55,12:27,,,13:07,13:39,,,14:19,14:51,,,15:31,16:03,,,16:43,17:15,,,17:55,18:27,,,19:07,19:39,,,20:19,20:51,,,21:31,22:03,,,22:43,23:15,,,0:29,
,4:27,4:51,,5:15,5:39,6:03,,6:27,6:51,7:15,,7:39,8:03,8:27,,8:51,9:15,9:39,,10:03,10:27,10:51,,11:15,11:39,12:03,,12:27,12:51,13:15,,13:39,14:03,14:27,,14:51,15:15,15:39,,16:03,16:27,16:51,,17:15,17:39,18:03,,18:27,18:51,19:15,,19:39,20:03,20:27,,20:51,21:15,21:39,,22:03,22:27,22:51,,23:15,23:39,24:03,0:29,24:53
plwsc,4:29,4:53,,5:17,5:41,6:05,,6:29,6:53,7:17,,7:41,8:05,8:29,,8:53,9:17,9:41,,10:05,10:29,10:53,,11:17,11:41,12:05,,12:29,12:53,13:17,,13:41,14:05,14:29,,14:53,15:17,15:41,,16:05,16:29,16:53,,17:17,17:41,18:05,,18:29,18:53,19:17,,19:41,20:05,20:29,,20:53,21:17,21:41,,22:05,22:29,22:53,,23:17,23:41,0:05,0:31,0:55
otreb,4:31,4:55,,5:19,5:43,6:07,,6:31,6:55,7:19,,7:43,8:07,8:31,,8:55,9:19,9:43,,10:07,10:31,10:55,,11:19,11:43,12:07,,12:31,12:55,13:19,,13:43,14:07,14:31,,14:55,15:19,15:43,,16:07,16:31,16:55,,17:19,17:43,18:07,,18:31,18:55,19:19,,19:43,20:07,20:31,,20:55,21:19,21:43,,22:07,22:31,22:55,,23:19,23:43,0:07,0:33,0:57
kanie,4:33,4:57,,5:21,5:45,6:09,,6:33,6:57,7:21,,7:45,8:09,8:33,,8:57,9:21,9:45,,10:09,10:33,10:57,,11:21,11:45,12:09,,12:33,12:57,13:21,,13:45,14:09,14:33,,14:57,15:21,15:45,,16:09,16:33,16:57,,17:21,17:45,18:09,,18:33,18:57,19:21,,19:45,20:09,20:33,,20:57,21:21,21:45,,22:09,22:33,22:57,,23:21,23:45,0:09,0:35,0:59
nwwar,4:35,4:59,,5:23,5:47,6:11,,6:35,6:59,7:23,,7:47,8:11,8:35,,8:59,9:23,9:47,,10:11,10:35,10:59,,11:23,11:47,12:11,,12:35,12:59,13:23,,13:47,14:11,14:35,,14:59,15:23,15:47,,16:11,16:35,16:59,,17:23,17:47,18:11,,18:35,18:59,19:23,,19:47,20:11,20:35,,20:59,21:23,21:47,,22:11,22:35,22:59,,23:23,23:47,0:11,0:37,1:01
komor,4:38,5:02,,5:26,5:50,6:14,,6:38,7:02,7:26,,7:50,8:14,8:38,,9:02,9:26,9:50,,10:14,10:38,11:02,,11:26,11:50,12:14,,12:38,13:02,13:26,,13:50,14:14,14:38,,15:02,15:26,15:50,,16:14,16:38,17:02,,17:26,17:50,18:14,,18:38,19:02,19:26,,19:50,20:14,20:38,,21:02,21:26,21:50,,22:14,22:38,23:02,,23:26,23:50,0:14,0:40,1:04
