,301,5301,107,303,305,5303,109,307,309,5305,111,311,313,5307,3113,5101,315,317,5309,3115,5103,319,321,5311,3117,5105,323,325,5313,3119,5107,327,329,5315,3121,5109,331,333,5317,3123,5111,335,337,5319,125,339,341,5321,127,343,345,5323,129,347,349,5325,131,351,353,5327,133,355,357,5329,135,359,361,5331,137,363,139,101,103,105
,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,ZA1,A1,A1,ZA12,A1,ZA1,A1,A1,ZA12,A1,ZA1,A1,A1,ZA12,A1,ZA1,A1,A1,ZA12,A1,ZA1,A1,A1,ZA12,A1,ZA1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,A1,A1,A1,A1
,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
wsrod,4:18,,4:42,5:12,5:36,,6:00,6:24,6:48,,7:12,7:36,8:00,,8:24,,8:48,9:12,,9:36,,10:00,10:24,,10:48,,11:12,11:36,,12:00,,12:24,12:48,,13:12,,13:36,14:00,,14:24,,14:48,15:12,,15:36,16:00,16:24,,16:48,17:12,17:36,,18:00,18:24,18:48,,19:12,19:36,20:00,,20:24,20:48,21:12,,21:36,22:00,22:24,,22:48,23:12,23:36,24:00,24:24,24:48
wocho,4:20,,4:44,5:14,5:38,,6:02,6:26,6:50,,7:14,7:38,8:02,,8:26,,8:50,9:14,,9:38,,10:02,10:26,,10:50,,11:14,11:38,,12:02,,12:26,12:50,,13:14,,13:38,14:02,,14:26,,14:50,15:14,,15:38,16:02,16:26,,16:50,17:14,17:38,,18:02,18:26,18:50,,19:14,19:38,20:02,,20:26,20:50,21:14,,21:38,22:02,22:26,,22:50,23:14,23:38,0:02,0:26,0:50
wzach,4:23,,4:47,5:17,5:41,,6:05,6:29,6:53,,7:17,7:41,8:05,,8:29,,8:53,9:17,,9:41,,10:05,10:29,,10:53,,11:17,11:41,,12:05,,12:29,12:53,,13:17,,13:41,14:05,,14:29,,14:53,15:17,,15:41,16:05,16:29,,16:53,17:17,17:41,,18:05,18:29,18:53,,19:17,19:41,20:05,,20:29,20:53,21:17,,21:41,22:05,22:29,,22:53,23:17,23:41,0:05,0:29,0:53
wreor,4:25,,4:49,5:19,5:43,,6:07,6:31,6:55,,7:19,7:43,8:07,,8:31,,8:55,9:19,,9:43,,10:07,10:31,,10:55,,11:19,11:43,,12:07,,12:31,12:55,,13:19,,13:43,14:07,,14:31,,14:55,15:19,,15:43,16:07,16:31,,16:55,17:19,17:43,,18:07,18:31,18:55,,19:19,19:43,20:07,,20:31,20:55,21:19,,21:43,22:07,22:31,,22:55,23:19,23:43,0:07,0:31,0:55
,4:27,,4:51,5:21,5:45,,6:09,6:33,6:57,,7:21,7:45,8:09,,8:33,,8:57,9:21,,9:45,,10:09,10:33,,10:57,,11:21,11:45,,12:09,,12:33,12:57,,13:21,,13:45,14:09,,14:33,,14:57,15:21,,15:45,16:09,16:33,,16:57,17:21,17:45,,18:09,18:33,18:57,,19:21,19:45,20:09,,20:33,20:57,21:21,,21:45,22:09,22:33,,22:57,23:21,23:45,0:09,0:33,0:57
walje,4:29,,4:53,5:23,5:47,,6:11,6:35,6:59,,7:23,7:47,8:11,,8:35,,8:59,9:23,,9:47,,10:11,10:35,,10:59,,11:23,11:47,,12:11,,12:35,12:59,,13:23,,13:47,14:11,,14:35,,14:59,15:23,,15:47,16:11,16:35,,16:59,17:23,17:47,,18:11,18:35,18:59,,19:23,19:47,20:11,,20:35,20:59,21:23,,21:47,22:11,22:35,,22:59,23:23,23:47,0:11,0:35,0:59
wrako,4:31,,4:55,5:25,5:49,,6:13,6:37,7:01,,7:25,7:49,8:13,,8:37,,9:01,9:25,,9:49,,10:13,10:37,,11:01,,11:25,11:49,,12:13,,12:37,13:01,,13:25,,13:49,14:13,,14:37,,15:01,15:25,,15:49,16:13,16:37,,17:01,17:25,17:49,,18:13,18:37,19:01,,19:25,19:49,20:13,,20:37,21:01,21:25,,21:49,22:13,22:37,,23:01,23:25,23:49,0:13,0:37,1:01
wsalo,4:33,,4:57,5:27,5:51,,6:15,6:39,7:03,,7:27,7:51,8:15,,8:39,,9:03,9:27,,9:51,,10:15,10:39,,11:03,,11:27,11:51,,12:15,,12:39,13:03,,13:27,,13:51,14:15,,14:39,,15:03,15:27,,15:51,16:15,16:39,,17:03,17:27,17:51,,18:15,18:39,19:03,,19:27,19:51,20:15,,20:39,21:03,21:27,,21:51,22:15,22:39,,23:03,23:27,23:51,0:15,0:39,1:03
opacz,4:35,,4:59,5:29,5:53,,6:17,6:41,7:05,,7:29,7:53,8:17,,8:41,,9:05,9:29,,9:53,,10:17,10:41,,11:05,,11:29,11:53,,12:17,,12:41,13:05,,13:29,,13:53,14:17,,14:41,,15:05,15:29,,15:53,16:17,16:41,,17:05,17:29,17:53,,18:17,18:41,19:05,,19:29,19:53,20:17,,20:41,21:05,21:29,,21:53,22:17,22:41,,23:05,23:29,23:53,0:17,0:41,1:05
micha,4:38,,5:02,5:32,5:56,,6:20,6:44,7:08,,7:32,7:56,8:20,,8:44,,9:08,9:32,,9:56,,10:20,10:44,,11:08,,11:32,11:56,,12:20,,12:44,13:08,,13:32,,13:56,14:20,,14:44,,15:08,15:32,,15:56,16:20,16:44,,17:08,17:32,17:56,,18:20,18:44,19:08,,19:32,19:56,20:20,,20:44,21:08,21:32,,21:56,22:20,22:44,,23:08,23:32,23:56,0:20,0:44,1:08
regul,4:40,,5:04,5:34,5:58,,6:22,6:46,7:10,,7:34,7:58,8:22,,8:46,,9:10,9:34,,9:58,,10:22,10:46,,11:10,,11:34,11:58,,12:22,,12:46,13:10,,13:34,,13:58,14:22,,14:46,,15:10,15:34,,15:58,16:22,16:46,,17:10,17:34,17:58,,18:22,18:46,19:10,,19:34,19:58,20:22,,20:46,21:10,21:34,,21:58,22:22,22:46,,23:10,23:34,23:58,0:22,0:46,1:10
