,100,102,5300,104,106,302,5302,108,304,5304,110,306,5306,112,308,5308,114,310,5310,116,312,5312,118,314,5314,120,316,5316,122,318,5318,124,320,5320,126,322,5322,128,324,5324,130,326,5326,132,328,5328,134,330,5330,136,332,5332,138,334,5334,140,336,5336,142,300
,A1,A1,ZA12,A1,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1
,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
gmrad,3:50,4:20,,4:50,5:20,,,6:20,,,7:20,,,8:20,,,9:20,,,10:20,,,11:20,,,12:20,,,13:20,,,14:20,,,15:20,,,16:20,,,17:20,,,18:20,,,19:20,,,20:20,,,21:20,,,22:20,,,23:20,
gmjor,3:53,4:23,,4:53,5:23,,,6:23,,,7:23,,,8:23,,,9:23,,,10:23,,,11:23,,,12:23,,,13:23,,,14:23,,,15:23,,,16:23,,,17:23,,,18:23,,,19:23,,,20:23,,,21:23,,,22:23,,,23:23,
gmpia,3:55,4:25,,4:55,5:25,,,6:25,,,7:25,,,8:25,,,9:25,,,10:25,,,11:25,,,12:25,,,13:25,,,14:25,,,15:25,,,16:25,,,17:25,,,18:25,,,19:25,,,20:25,,,21:25,,,22:25,,,23:25,
gmokr,3:57,4:27,,4:57,5:27,,,6:27,,,7:27,,,8:27,,,9:27,,,10:27,,,11:27,,,12:27,,,13:27,,,14:27,,,15:27,,,16:27,,,17:27,,,18:27,,,19:27,,,20:27,,,21:27,,,22:27,,,23:27,
brzoz,3:59,4:29,,4:59,5:29,,,6:29,,,7:29,,,8:29,,,9:29,,,10:29,,,11:29,,,12:29,,,13:29,,,14:29,,,15:29,,,16:29,,,17:29,,,18:29,,,19:29,,,20:29,,,21:29,,,22:29,,,23:29,
kazim,4:02,4:32,,5:02,5:32,,,6:32,,,7:32,,,8:32,,,9:32,,,10:32,,,11:32,,,12:32,,,13:32,,,14:32,,,15:32,,,16:32,,,17:32,,,18:32,,,19:32,,,20:32,,,21:32,,,22:32,,,23:32,
milgr,,,4:58,,,,5:58,,,6:58,,,7:58,,,8:58,,,9:58,,,10:58,,,11:58,,,12:58,,,13:58,,,14:58,,,15:58,,,16:58,,,17:58,,,18:58,,,19:58,,,20:58,,,21:58,,,22:58,,
poles,,,5:00,,,,6:00,,,7:00,,,8:00,,,9:00,,,10:00,,,11:00,,,12:00,,,13:00,,,14:00,,,15:00,,,16:00,,,17:00,,,18:00,,,19:00,,,20:00,,,21:00,,,22:00,,,23:00,,
