,155,5351,361,5353,157,363,5355,159,5357,365,161,367,5359,163,369,5361,165,371,5363,167,373,5365,169,375,5367,171,377,5369,173,379,5371,175,381,5373,177,383,5375,179,385,5377,181,387,5379,183,389,5381,185,391,5383,187,393,5385,189,395,5387,191,397,151,153
,A1,ZA12,A1,ZA12,A1,A1,ZA12,A1,ZA12,A1,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,ZA12,A1,A1,A1,A1
,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
wsrod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wocho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wzach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wreor,5:13,,5:43,,6:13,6:43,,7:13,,7:43,8:13,8:43,,9:13,9:43,,10:13,10:43,,11:13,11:43,,12:13,12:43,,13:13,13:43,,14:13,14:43,,15:13,15:43,,16:13,16:43,,17:13,17:43,,18:13,18:43,,19:13,19:43,,20:13,20:43,,21:13,21:43,,22:13,22:43,,23:13,23:43,24:13,24:43
walje,5:16,,5:46,,6:16,6:46,,7:16,,7:46,8:16,8:46,,9:16,9:46,,10:16,10:46,,11:16,11:46,,12:16,12:46,,13:16,13:46,,14:16,14:46,,15:16,15:46,,16:16,16:46,,17:16,17:46,,18:16,18:46,,19:16,19:46,,20:16,20:46,,21:16,21:46,,22:16,22:46,,23:16,23:46,0:16,0:46
wrako,5:18,,5:48,,6:18,6:48,,7:18,,7:48,8:18,8:48,,9:18,9:48,,10:18,10:48,,11:18,11:48,,12:18,12:48,,13:18,13:48,,14:18,14:48,,15:18,15:48,,16:18,16:48,,17:18,17:48,,18:18,18:48,,19:18,19:48,,20:18,20:48,,21:18,21:48,,22:18,22:48,,23:18,23:48,0:18,0:48
wsalo,5:20,,5:50,,6:20,6:50,,7:20,,7:50,8:20,8:50,,9:20,9:50,,10:20,10:50,,11:20,11:50,,12:20,12:50,,13:20,13:50,,14:20,14:50,,15:20,15:50,,16:20,16:50,,17:20,17:50,,18:20,18:50,,19:20,19:50,,20:20,20:50,,21:20,21:50,,22:20,22:50,,23:20,23:50,0:20,0:50
opacz,5:23,,5:53,,6:23,6:53,,7:23,,7:53,8:23,8:53,,9:23,9:53,,10:23,10:53,,11:23,11:53,,12:23,12:53,,13:23,13:53,,14:23,14:53,,15:23,15:53,,16:23,16:53,,17:23,17:53,,18:23,18:53,,19:23,19:53,,20:23,20:53,,21:23,21:53,,22:23,22:53,,23:23,23:53,0:23,0:53
micha,5:26,,5:56,,6:26,6:56,,7:26,,7:56,8:26,8:56,,9:26,9:56,,10:26,10:56,,11:26,11:56,,12:26,12:56,,13:26,13:56,,14:26,14:56,,15:26,15:56,,16:26,16:56,,17:26,17:56,,18:26,18:56,,19:26,19:56,,20:26,20:56,,21:26,21:56,,22:26,22:56,,23:26,23:56,0:26,0:56
regul,5:28,,5:58,,6:28,6:58,,7:28,,7:58,8:28,8:58,,9:28,9:58,,10:28,10:58,,11:28,11:58,,12:28,12:58,,13:28,13:58,,14:28,14:58,,15:28,15:58,,16:28,16:58,,17:28,17:58,,18:28,18:58,,19:28,19:58,,20:28,20:58,,21:28,21:58,,22:28,22:58,,23:28,23:58,0:28,0:58
malic,5:30,,6:00,,6:30,7:00,,7:30,,8:00,8:30,9:00,,9:30,10:00,,10:30,11:00,,11:30,12:00,,12:30,13:00,,13:30,14:00,,14:30,15:00,,15:30,16:00,,16:30,17:00,,17:30,18:00,,18:30,19:00,,19:30,20:00,,20:30,21:00,,21:30,22:00,,22:30,23:00,,23:30,0:00,0:30,1:00
twork,5:33,,6:03,,6:33,7:03,,7:33,,8:03,8:33,9:03,,9:33,10:03,,10:33,11:03,,11:33,12:03,,12:33,13:03,,13:33,14:03,,14:33,15:03,,15:33,16:03,,16:33,17:03,,17:33,18:03,,18:33,19:03,,19:33,20:03,,20:33,21:03,,21:33,22:03,,22:33,23:03,,23:33,0:03,0:33,1:03
prusz,5:35,,6:05,,6:35,7:05,,7:35,,8:05,8:35,9:05,,9:35,10:05,,10:35,11:05,,11:35,12:05,,12:35,13:05,,13:35,14:05,,14:35,15:05,,15:35,16:05,,16:35,17:05,,17:35,18:05,,18:35,19:05,,19:35,20:05,,20:35,21:05,,21:35,22:05,,22:35,23:05,,23:35,0:05,0:35,1:05
komor,5:37,,6:07,,6:37,7:07,,7:37,,8:07,8:37,9:07,,9:37,10:07,,10:37,11:07,,11:37,12:07,,12:37,13:07,,13:37,14:07,,14:37,15:07,,15:37,16:07,,16:37,17:07,,17:37,18:07,,18:37,19:07,,19:37,20:07,,20:37,21:07,,21:37,22:07,,22:37,23:07,,23:37,0:07,0:37,1:07
,5:38,,6:08,,6:38,7:08,,7:38,,8:08,8:38,9:08,,9:38,10:08,,10:38,11:08,,11:38,12:08,,12:38,13:08,,13:38,14:08,,14:38,15:08,,15:38,16:08,,16:38,17:08,,17:38,18:08,,18:38,19:08,,19:38,20:08,,20:38,21:08,,21:38,22:08,,22:38,23:08,,23:38,0:08,0:38,1:08
