,1000,2250,1002,2000,2252,1004,2002,1006,2004,1008,2006,1010,2008,1012,2010,1014,2012,1016,2014,1018,2016,1020,2018,1022,2020,1024,2022,1026,2024,1028,2026,1030,2028,1032,2030,1034,2032,1036,2034,1038,2036,1040,2254
,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A12
,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
gmrad,4:00,4:10,4:30,,5:08,5:28,,6:28,,7:28,,8:28,,9:28,,10:28,,11:28,,12:28,,13:28,,14:28,,15:28,,16:28,,17:28,,18:28,,19:28,,20:28,,21:28,,22:33,,23:38,
gmjor,4:02,4:12,4:32,,5:10,5:30,,6:30,,7:30,,8:30,,9:30,,10:30,,11:30,,12:30,,13:30,,14:30,,15:30,,16:30,,17:30,,18:30,,19:30,,20:30,,21:30,,22:35,,23:40,
gmpia,4:04,4:14,4:34,,5:12,5:32,,6:32,,7:32,,8:32,,9:32,,10:32,,11:32,,12:32,,13:32,,14:32,,15:32,,16:32,,17:32,,18:32,,19:32,,20:32,,21:32,,22:37,,23:42,
gmokr,4:05,4:15,4:35,,5:13,5:33,,6:33,,7:33,,8:33,,9:33,,10:33,,11:33,,12:33,,13:33,,14:33,,15:33,,16:33,,17:33,,18:33,,19:33,,20:33,,21:33,,22:38,,23:43,
brzoz,4:07,4:17,4:37,,5:15,5:35,,6:35,,7:35,,8:35,,9:35,,10:35,,11:35,,12:35,,13:35,,14:35,,15:35,,16:35,,17:35,,18:35,,19:35,,20:35,,21:35,,22:40,,23:45,
kazim,4:09,4:19,4:39,,5:17,5:37,,6:37,,7:37,,8:37,,9:37,,10:37,,11:37,,12:37,,13:37,,14:37,,15:37,,16:37,,17:37,,18:37,,19:37,,20:37,,21:37,,22:42,,23:47,
milgr,,,,5:04,,,6:04,,7:04,,8:04,,9:04,,10:04,,11:04,,12:04,,13:04,,14:04,,15:04,,16:04,,17:04,,18:04,,19:04,,20:04,,21:04,,22:04,,23:09,,23:54
poles,,,,5:07,,,6:07,,7:07,,8:07,,9:07,,10:07,,11:07,,12:07,,13:07,,14:07,,15:07,,16:07,,17:07,,18:07,,19:07,,20:07,,21:07,,22:07,,23:12,,23:57
plzac,4:11,4:21,4:41,5:09,5:19,5:39,6:09,6:39,7:09,7:39,8:09,8:39,9:09,9:39,10:09,10:39,11:09,11:39,12:09,12:39,13:09,13:39,14:09,14:39,15:09,15:39,16:09,16:39,17:09,17:39,18:09,18:39,19:09,19:39,20:09,20:39,21:09,21:39,22:09,22:44,23:14,23:49,23:59
