,100,2200,102,104,2202,200,106,108,202,110,112,114,204,116,118,120,206,122,124,126,208,128,130,210,132,134,212,136,138,214,140,142,216,144,146,218,148,150,220,152,154,156,222,158,160,162,224,164,166,168,226,170,172,174,228,176,178,180,230,182,184,232,186,188,234,190,236,192,2204
,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A12
,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
gmrad,3:40,4:00,4:10,4:30,4:40,,5:10,5:28,,5:58,6:13,6:28,,6:58,7:13,7:28,,7:58,8:13,8:33,,9:08,9:28,,10:08,10:28,,11:08,11:28,,12:08,12:28,,13:08,13:28,,14:08,14:28,,14:58,15:13,15:28,,15:58,16:13,16:28,,16:58,17:13,17:28,,17:58,18:13,18:28,,18:58,19:13,19:33,,20:13,20:33,,21:13,21:33,,22:33,,23:38,
gmjor,3:42,4:02,4:12,4:32,4:42,,5:12,5:30,,6:00,6:15,6:30,,7:00,7:15,7:30,,8:00,8:15,8:35,,9:10,9:30,,10:10,10:30,,11:10,11:30,,12:10,12:30,,13:10,13:30,,14:10,14:30,,15:00,15:15,15:30,,16:00,16:15,16:30,,17:00,17:15,17:30,,18:00,18:15,18:30,,19:00,19:15,19:35,,20:15,20:35,,21:15,21:35,,22:35,,23:40,
gmpia,3:44,4:04,4:14,4:34,4:44,,5:14,5:32,,6:02,6:17,6:32,,7:02,7:17,7:32,,8:02,8:17,8:37,,9:12,9:32,,10:12,10:32,,11:12,11:32,,12:12,12:32,,13:12,13:32,,14:12,14:32,,15:02,15:17,15:32,,16:02,16:17,16:32,,17:02,17:17,17:32,,18:02,18:17,18:32,,19:02,19:17,19:37,,20:17,20:37,,21:17,21:37,,22:37,,23:42,
gmokr,3:45,4:05,4:15,4:35,4:45,,5:15,5:33,,6:03,6:18,6:33,,7:03,7:18,7:33,,8:03,8:18,8:38,,9:13,9:33,,10:13,10:33,,11:13,11:33,,12:13,12:33,,13:13,13:33,,14:13,14:33,,15:03,15:18,15:33,,16:03,16:18,16:33,,17:03,17:18,17:33,,18:03,18:18,18:33,,19:03,19:18,19:38,,20:18,20:38,,21:18,21:38,,22:38,,23:43,
brzoz,3:47,4:07,4:17,4:37,4:47,,5:17,5:35,,6:05,6:20,6:35,,7:05,7:20,7:35,,8:05,8:20,8:40,,9:15,9:35,,10:15,10:35,,11:15,11:35,,12:15,12:35,,13:15,13:35,,14:15,14:35,,15:05,15:20,15:35,,16:05,16:20,16:35,,17:05,17:20,17:35,,18:05,18:20,18:35,,19:05,19:20,19:40,,20:20,20:40,,21:20,21:40,,22:40,,23:45,
kazim,3:49,4:09,4:19,4:39,4:49,,5:19,5:37,,6:07,6:22,6:37,,7:07,7:22,7:37,,8:07,8:22,8:42,,9:17,9:37,,10:17,10:37,,11:17,11:37,,12:17,12:37,,13:17,13:37,,14:17,14:37,,15:07,15:22,15:37,,16:07,16:22,16:37,,17:07,17:22,17:37,,18:07,18:22,18:37,,19:07,19:22,19:42,,20:22,20:42,,21:22,21:42,,22:42,,23:47,
milgr,,,,,,4:56,,,5:49,,,,6:49,,,,7:49,,,,8:59,,,9:54,,,10:54,,,11:54,,,12:54,,,13:54,,,14:49,,,,15:49,,,,16:49,,,,17:49,,,,18:49,,,,19:59,,,20:54,,,22:09,,23:09,,23:54
poles,,,,,,4:59,,,5:52,,,,6:52,,,,7:52,,,,9:02,,,9:57,,,10:57,,,11:57,,,12:57,,,13:57,,,14:52,,,,15:52,,,,16:52,,,,17:52,,,,18:52,,,,20:02,,,20:57,,,22:12,,23:12,,23:57
plzac,3:51,4:11,4:21,4:41,4:51,5:01,5:21,5:39,5:54,6:09,6:24,6:39,6:54,7:09,7:24,7:39,7:54,8:09,8:24,8:44,9:04,9:19,9:39,9:59,10:19,10:39,10:59,11:19,11:39,11:59,12:19,12:39,12:59,13:19,13:39,13:59,14:19,14:39,14:54,15:09,15:24,15:39,15:54,16:09,16:24,16:39,16:54,17:09,17:24,17:39,17:54,18:09,18:24,18:39,18:54,19:09,19:24,19:44,20:04,20:24,20:44,20:59,21:24,21:44,22:14,22:44,23:14,23:49,23:59
